iter	Passed	Remaining
428	3115	4146
429	3122	4139
430	3129	4131
431	3136	4123
432	3142	4115
433	3150	4108
434	3156	4099
435	3162	4091
436	3169	4083
437	3175	4074
438	3183	4067
439	3189	4059
440	3195	4050
441	3202	4042
442	3208	4034
443	3215	4027
444	3222	4018
445	3229	4010
446	3235	4002
447	3241	3994
448	3249	3987
449	3255	3978
450	3262	3971
451	3269	3963
452	3275	3955
453	3282	3947
454	3288	3939
455	3296	3932
456	3302	3924
457	3309	3916
458	3315	3908
459	3321	3899
460	3329	3892
461	3335	3884
462	3342	3876
463	3349	3869
464	3355	3860
465	3362	3853
466	3369	3845
467	3376	3838
468	3382	3829
469	3389	3821
470	3396	3814
471	3402	3806
472	3409	3799
473	3416	3791
474	3423	3784
475	3430	3776
476	3436	3767
477	3443	3760
478	3450	3752
479	3457	3745
480	3463	3737
481	3470	3729
482	3476	3721
483	3483	3713
484	3490	3706
485	3497	3698
486	3503	3690
487	3510	3682
488	3516	3674
489	3523	3667
490	3530	3659
491	3537	3652
492	3543	3644
493	3550	3636
494	3557	3629
495	3564	3621
496	3571	3614
497	3577	3606
498	3584	3598
499	3591	3591
500	3597	3583
501	3604	3576
502	3611	3568
503	3618	3560
504	3624	3552
505	3630	3544
506	3638	3537
507	3644	3529
508	3653	3523
509	3659	3515
510	3666	3508
511	3672	3500
512	3679	3493
513	3687	3486
514	3694	3479
515	3702	3472
516	3708	3464
517	3716	3458
518	3723	3450
519	3730	3443
520	3737	3436
521	3744	3429
522	3751	3421
523	3758	3413
524	3765	3406
525	3772	3399
526	3779	3391
527	3785	3384
528	3792	3376
529	3799	3369
530	3807	3362
531	3814	3355
532	3821	3348
533	3830	3342
534	3836	3334
535	3842	3326
536	3849	3319
537	3855	3311
538	3862	3303
539	3869	3296
540	3876	3288
541	3883	3281
542	3889	3273
543	3897	3266
544	3903	3258
545	3911	3252
546	3917	3244
547	3924	3236
548	3931	3229
549	3938	3222
550	3945	3214
551	3951	3207
552	3958	3199
553	3964	3191
554	3971	3184
555	3978	3177
556	3984	3169
557	3992	3162
558	3999	3154
559	4006	3147
560	4013	3140
561	4020	3133
562	4027	3126
563	4033	3118
564	4041	3111
565	4047	3103
566	4055	3096
567	4061	3089
568	4067	3081
569	4075	3074
570	4081	3066
571	4089	3059
572	4095	3051
573	4102	3044
574	4108	3036
575	4115	3029
576	4123	3023
577	4130	3015
578	4137	3008
579	4144	3000
580	4151	2994
581	4158	2986
582	4164	2978
583	4171	2971
584	4177	2963
585	4185	2957
586	4192	2949
587	4199	2942
588	4205	2934
589	4212	2927
590	4220	2920
591	4226	2912
592	4234	2906
593	4240	2898
594	4247	2891
595	4253	2883
596	4260	2875
597	4268	2869
598	4274	2861
599	4282	2854
600	4288	2847
601	4296	2840
602	4302	2832
603	4309	2825
604	4317	2818
605	4323	2811
606	4331	2804
607	4338	2797
608	4345	2789
609	4351	2782
610	4358	2774
611	4366	2767
612	4372	2760
613	4380	2753
614	4386	2746
615	4393	2739
616	4400	2731
617	4406	2723
618	4414	2717
619	4420	2709
620	4428	2702
621	4434	2694
622	4441	2687
623	4447	2680
624	4454	2672
625	4461	2665
626	4468	2658
627	4475	2651
628	4482	2643
629	4488	2636
630	4495	2628
631	4502	2621
632	4510	2614
633	4517	2607
634	4524	2600
635	4531	2593
636	4537	2585
637	4544	2578
638	4550	2571
639	4558	2564
640	4565	2556
641	4573	2550
642	4579	2542
643	4586	2535
644	4592	2527
645	4599	2520
646	4607	2513
647	4613	2506
648	4621	2499
649	4628	2492
650	4634	2484
651	4641	2477
652	4647	2469
653	4656	2463
654	4662	2456
655	4670	2449
656	4677	2441
657	4684	2434
658	4690	2427
659	4696	2419
660	4705	2413
661	4713	2406
662	4721	2399
663	4727	2392
664	4734	2385
665	4741	2377
666	4747	2370
667	4755	2363
668	4761	2356
669	4769	2349
670	4775	2341
671	4782	2334
672	4789	2327
673	4795	2319
674	4803	2312
675	4809	2305
676	4817	2298
677	4823	2290
678	4830	2283
679	4836	2276
680	4842	2268
681	4851	2261
682	4857	2254
683	4865	2247
684	4871	2240
685	4878	2233
686	4885	2225
687	4891	2218
688	4899	2211
689	4905	2204
690	4914	2197
691	4920	2190
692	4928	2183
693	4934	2175
694	4941	2168
695	4948	2161
696	4955	2154
697	4963	2147
698	4969	2139
699	4976	2132
700	4982	2125
701	4989	2118
702	4997	2111
703	5003	2103
704	5011	2097
705	5018	2089
706	5025	2082
707	5031	2075
708	5037	2067
709	5045	2060
710	5051	2053
711	5059	2046
712	5066	2039
713	5073	2032
714	5079	2024
715	5085	2017
716	5092	2010
717	5099	2002
718	5106	1995
719	5112	1988
720	5119	1981
721	5126	1973
722	5132	1966
723	5139	1959
724	5145	1951
725	5152	1944
726	5159	1937
727	5165	1929
728	5172	1922
729	5178	1915
730	5185	1908
731	5191	1900
732	5198	1893
733	5205	1886
734	5211	1878
735	5217	1871
736	5224	1864
737	5230	1856
738	5237	1849
739	5244	1842
740	5251	1835
741	5257	1828
742	5263	1820
743	5270	1813
744	5277	1806
745	5285	1799
746	5291	1792
747	5298	1785
748	5304	1777
749	5310	1770
750	5317	1763
751	5324	1756
752	5331	1748
753	5338	1741
754	5344	1734
755	5351	1727
756	5357	1719
757	5364	1712
758	5370	1705
759	5376	1697
760	5383	1690
761	5389	1683
762	5397	1676
763	5403	1669
764	5409	1661
765	5416	1654
766	5422	1647
767	5429	1640
768	5435	1632
769	5442	1625
770	5448	1618
771	5455	1611
772	5462	1603
773	5468	1596
774	5474	1589
775	5481	1582
776	5488	1575
777	5495	1568
778	5502	1560
779	5508	1553
780	5515	1546
781	5521	1539
782	5528	1532
783	5535	1524
784	5542	1517
785	5548	1510
786	5555	1503
787	5562	1496
788	5568	1489
789	5575	1482
790	5582	1474
791	5589	1467
792	5596	1460
793	5602	1453
794	5609	1446
795	5615	1439
796	5622	1432
797	5629	1425
798	5636	1417
799	5643	1410
800	5649	1403
801	5656	1396
802	5662	1389
803	5670	1382
804	5676	1375
805	5683	1367
806	5690	1360
807	5696	1353
808	5703	1346
809	5710	1339
810	5717	1332
811	5724	1325
812	5730	1318
813	5737	1311
814	5744	1303
815	5751	1296
816	5757	1289
817	5764	1282
818	5770	1275
819	5777	1268
820	5784	1261
821	5790	1253
822	5797	1246
823	5803	1239
824	5810	1232
825	5817	1225
826	5823	1218
827	5830	1211
828	5837	1204
829	5843	1196
830	5850	1189
831	5856	1182
832	5863	1175
833	5869	1168
834	5876	1161
835	5883	1154
836	5889	1146
837	5896	1139
838	5902	1132
839	5908	1125
840	5915	1118
841	5922	1111
842	5929	1104
843	5935	1097
844	5942	1090
845	5948	1082
846	5955	1075
847	5962	1068
848	5969	1061
849	5976	1054
850	5983	1047
851	5989	1040
852	5996	1033
853	6002	1026
854	6009	1019
855	6015	1012
856	6022	1004
857	6028	997
858	6035	990
859	6042	983
860	6048	976
861	6054	969
862	6061	962
863	6067	955
864	6074	948
865	6081	941
866	6087	933
867	6094	926
868	6100	919
869	6107	912
870	6114	905
871	6121	898
872	6128	891
873	6134	884
874	6141	877
875	6147	870
876	6154	863
877	6161	856
878	6167	848
879	6174	841
880	6180	834
881	6187	827
882	6194	820
883	6200	813
884	6207	806
885	6213	799
886	6221	792
887	6227	785
888	6234	778
889	6240	771
890	6247	764
891	6254	757
892	6261	750
893	6269	743
894	6275	736
895	6282	729
896	6288	722
897	6295	715
898	6302	708
899	6308	700
900	6316	694
901	6322	686
902	6328	679
903	6335	672
904	6342	665
905	6349	658
906	6355	651
907	6361	644
908	6368	637
909	6374	630
910	6381	623
911	6388	616
912	6395	609
913	6401	602
914	6408	595
915	6415	588
916	6422	581
917	6429	574
918	6435	567
919	6441	560
920	6448	553
921	6455	546
922	6462	539
923	6468	532
924	6475	525
925	6481	517
926	6488	510
927	6495	503
928	6501	496
929	6509	489
930	6516	482
931	6522	475
932	6529	468
933	6536	461
934	6543	454
935	6550	447
936	6557	440
937	6564	433
938	6570	426
939	6577	419
940	6583	412
941	6590	405
942	6597	398
943	6604	391
944	6611	384
945	6617	377
946	6624	370
947	6631	363
948	6639	356
949	6645	349
950	6651	342
951	6658	335
952	6664	328
953	6672	321
954	6678	314
955	6684	307
956	6691	300
957	6697	293
958	6705	286
959	6712	279
960	6719	272
961	6725	265
962	6731	258
963	6738	251
964	6745	244
965	6752	237
966	6758	230
967	6764	223
968	6771	216
969	6778	209
970	6786	202
971	6793	195
972	6800	188
973	6806	181
974	6812	174
975	6819	167
976	6825	160
977	6832	153
978	6838	146
979	6845	139
980	6851	132
981	6857	125
982	6864	118
983	6871	111
984	6877	104
985	6884	97
986	6890	90
987	6897	83
988	6904	76
989	6912	69
990	6918	62
991	6924	55
992	6932	48
993	6938	41
994	6945	34
995	6951	27
996	6958	20
997	6964	13
998	6971	6
999	6978	0
